taxon_ids,user_supplied_name,submitted_name,matched_name,data_source_title,score
"Oceanodroma furcata,Oceanodroma castro,Hydrobates ",Hydrobates ,Hydrobates,Hydrobates,Catalogue of Life,0.75
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Rhincodon typus,Rhincodon typus,Rhincodon typus,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Carcharodon carcharias,Carcharodon carcharias,Carcharodon carcharias,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Isurus oxyrinchus,Isurus oxyrinchus,Isurus oxyrinchus,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Galeocerdo cuvier,Galeocerdo cuvier,Galeocerdo cuvier,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Carcharhinus obscurus,Carcharhinus obscurus,Carcharhinus obscurus,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Carcharhinus leucas,Carcharhinus leucas,Carcharhinus leucas,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Carcharhinus plumbeus,Carcharhinus plumbeus,Carcharhinus plumbeus,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Carcharhinus falciformis,Carcharhinus falciformis,Carcharhinus falciformis,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Carcharhinus limbatus,Carcharhinus limbatus,Carcharhinus limbatus,NCBI,0.988
"Rhincodon typus,Carcharodon carcharias,Isurus oxyrinchus,Galeocerdo cuvier,Carcharhinus obscurus,Carcharhinus leucas,Carcharhinus plumbeus,Carcharhinus falciformis,Carcharhinus limbatus,Prionace glauca,Sphyrnidae ,Sphyrna lewini,Sphyrna mokarran",Prionace glauca,Prionace glauca,Prionace glauca,NCBI,0.988
